"V1","age","sex","N","year","deaths","mx"
1,0,"m",5805.25492842352,2010,79.1546487249046,0.013634999616873
2,1,"m",24229.1156107956,2010,13.2185131014075,0.000545563169277125
3,5,"m",30708.3005751496,2010,7.79223560679551,0.000253750141194766
4,10,"m",31085.7529563646,2010,5.76081436731631,0.00018532008458675
5,15,"m",31929.6276383238,2010,32.5392573881136,0.00101909291760916
6,20,"m",29850.5237282509,2010,45.4150257603952,0.00152141470527748
7,25,"m",26319.4615453023,2010,54.5708108090634,0.00207340149095123
8,30,"m",24899.1285017778,2010,63.7218337425102,0.00255919936065073
9,35,"m",24167.5918563595,2010,84.0507906603443,0.00347783060719916
10,40,"m",20357.6042183873,2010,87.4363400003503,0.00429502111655047
11,45,"m",17731.0823436589,2010,95.2476471422758,0.00537178979242284
12,50,"m",15443.7178590586,2010,109.801480272885,0.00710978284341554
13,55,"m",11732.9322383963,2010,121.339696359689,0.0103418049209048
14,60,"m",9058.32532846959,2010,150.130912650847,0.016573804451359
15,65,"m",6854.8329273169,2010,166.747475821905,0.0243255346395689
16,70,"m",4983.31001689326,2010,169.116753711947,0.033936631102349
17,75,"m",3419.55496551884,2010,177.923944394685,0.0520313158258268
18,80,"m",2077.06954929376,2010,158.950054533876,0.0765261108314461
19,85,"m",2203.45827344347,2010,295.540944395364,0.134125954622007
20,0,"f",5556.06142712124,2010,65.9760240506773,0.0118746030647939
21,1,"f",23369.4095175581,2010,13.3654140753325,0.000571919203405233
22,5,"f",29890.9876291305,2010,6.34869140955337,0.000212394835805499
23,10,"f",29115.2683703625,2010,6.01140852412923,0.000206469280916829
24,15,"f",31149.5900369657,2010,11.0269077526302,0.000353998487284886
25,20,"f",30950.0090942908,2010,13.6991757618824,0.00044262267323241
26,25,"f",27474.1448801282,2010,19.7113331907648,0.000717450289236184
27,30,"f",26251.414269766,2010,26.0549075546596,0.000992514433200168
28,35,"f",25302.4462388296,2010,21.0453900105841,0.000831753175639099
29,40,"f",21598.0259106017,2010,30.7373136608214,0.00142315384693254
30,45,"f",18538.4136826049,2010,43.0952295240513,0.00232464493790473
31,50,"f",15869.6330059525,2010,50.4513034116936,0.00317910964877196
32,55,"f",11872.1016853889,2010,72.4965964064348,0.00610646693631819
33,60,"f",9539.3926540419,2010,87.188177961807,0.00913980387680811
34,65,"f",7133.28464434731,2010,114.257688770124,0.0160175423338344
35,70,"f",5390.35154522067,2010,130.957741788679,0.0242948424959022
36,75,"f",3647.97928794435,2010,154.337840507993,0.0423077622776096
37,80,"f",2547.49603590154,2010,148.666193051575,0.0583577720853894
38,85,"f",2644.03269342885,2010,347.446816475267,0.131407912367638
39,0,"m",4797.61243550902,2019,46.0833333333333,0.00960547229539685
40,1,"m",22039.4255712027,2019,11.0199275362319,0.000500009743930478
41,5,"m",30727.5766114143,2019,6.01086956521739,0.000195618080827908
42,10,"m",31039.5152169478,2019,7.01268115942029,0.000225927534963282
43,15,"m",30834.0200681262,2019,56.1014492753623,0.00181946593896641
44,20,"m",29726.9643081316,2019,124.224637681159,0.00417885379729737
45,25,"m",28485.2060563471,2019,146.264492753623,0.00513475284202946
46,30,"m",27545.1592465072,2019,139.251811594203,0.00505540049153502
47,35,"m",26513.8426880035,2019,126.228260869565,0.00476084369794796
48,40,"m",24496.8709170284,2019,154.278985507246,0.00629790580314495
49,45,"m",22761.8427467363,2019,152.275362318841,0.00668994000236097
50,50,"m",19712.3893237086,2019,162.29347826087,0.00823306985245444
51,55,"m",16449.2644010454,2019,202.365942028986,0.0123024311054375
52,60,"m",14025.565051578,2019,234.423913043478,0.0167140441173957
53,65,"m",10298.4414700316,2019,194.351449275362,0.01887192832439
54,70,"m",7489.06412877535,2019,216.391304347826,0.0288943051664336
55,75,"m",4967.93237989414,2019,238.43115942029,0.0479940428306254
56,80,"m",3021.7285406501,2019,186.336956521739,0.0616656837353266
57,85,"m",2488.0950648756,2019,361.653985507246,0.14535376506015
58,0,"f",4636.10923788992,2019,34.0762331838565,0.00735017909098405
59,1,"f",21423.1494071358,2019,17.0381165919283,0.000795313343903259
60,5,"f",29510.4849439524,2019,8.01793721973094,0.000271697914655044
61,10,"f",29868.5971034215,2019,5.01121076233184,0.000167775230452916
62,15,"f",30152.047569528,2019,14.0313901345291,0.000465354470610128
63,20,"f",29867.6438127009,2019,33.0739910313901,0.00110735186340095
64,25,"f",29375.3754966559,2019,36.0807174887892,0.0012282640435659
65,30,"f",29552.5409129062,2019,30.067264573991,0.00101741723876136
66,35,"f",27801.0793618116,2019,31.0695067264574,0.00111756476509813
67,40,"f",26076.7908347395,2019,44.0986547085202,0.00169110742913089
68,45,"f",23600.8462744115,2019,74.1659192825112,0.00314251101084131
69,50,"f",21088.0616081337,2019,80.1793721973094,0.00380212148879459
70,55,"f",17487.2330153916,2019,92.2062780269058,0.00527277688504232
71,60,"f",14841.8692912979,2019,133.298206278027,0.00898122761101141
72,65,"f",11108.7901063718,2019,158.354260089686,0.0142548611120897
73,70,"f",8132.98928801239,2019,154.345291479821,0.0189776828683788
74,75,"f",5534.21222694009,2019,197.441704035874,0.0356765689387089
75,80,"f",3660.91618169148,2019,205.459641255605,0.0561224652678814
76,85,"f",3381.58057942811,2019,439.984304932735,0.130112027378376
77,0,"m",4598.60408291202,2021,49.6880971013075,0.0108050391391474
78,1,"m",21580.3582860858,2021,11.0232417098699,0.000510799754282915
79,5,"m",30731.8618179497,2021,9.01901594443901,0.000293474440236199
80,10,"m",31029.2495071887,2021,8.01690306172356,0.000258365999469831
81,15,"m",30595.7031728954,2021,50.1056441357723,0.00163766931103452
82,20,"m",29699.5761895162,2021,123.259884574,0.00415022368627301
83,25,"m",28990.1860245339,2021,158.33383546904,0.00546163571820632
84,30,"m",28170.3477190829,2021,155.327496820894,0.00551386508856167
85,35,"m",27065.4181560581,2021,187.395109067788,0.00692378399577185
86,40,"m",25525.4679767217,2021,200.422576543089,0.00785186687765596
87,45,"m",24060.9264603972,2021,205.433140956666,0.00853803951792115
88,50,"m",20810.9557383505,2021,277.585268512178,0.0133384200131012
89,55,"m",17731.9032195107,2021,315.665558055365,0.0178021250255885
90,60,"m",15456.6098641833,2021,389.821911376308,0.0252204018087834
91,65,"m",11273.3958357236,2021,436.921216863934,0.0387568416146092
92,70,"m",8198.62086710174,2021,421.889523623203,0.0514585965691012
93,75,"m",5397.85821737814,2021,388.819798493593,0.0720322362750853
94,80,"m",3284.23483965919,2021,358.756412012129,0.109235919331931
95,85,"m",2556.18269027416,2021,521.098699012032,0.203858159667039
96,0,"f",4453.32120700049,2021,35.4166666666667,0.00795286596686373
97,1,"f",21013.1530021211,2021,5,0.000237946204431829
98,5,"f",29426.5887582491,2021,10,0.000339828720282663
99,10,"f",30038.6329456298,2021,10,0.000332904630450397
100,15,"f",29934.7462919926,2021,18,0.000601307919045732
101,20,"f",29632.3059118649,2021,20,0.000674939036451831
102,25,"f",29815.4271925815,2021,35,0.00117388893252915
103,30,"f",30340.7568349109,2021,47,0.00154907144392392
104,35,"f",28389.0171234627,2021,59,0.00207826849881457
105,40,"f",27191.9798141007,2021,65,0.0023904107183212
106,45,"f",24901.6823417703,2021,114,0.0045780039450899
107,50,"f",22463.343083971,2021,149,0.00663302872787091
108,55,"f",19058.8822965016,2021,199,0.0104413258292973
109,60,"f",16373.7490829139,2021,231,0.0141079479617194
110,65,"f",12257.9332340218,2021,290,0.0236581481122044
111,70,"f",8911.41044629504,2021,326,0.0365823123022614
112,75,"f",6071.25951961217,2021,318,0.0523779289903117
113,80,"f",3968.11739440551,2021,312,0.0786267060646634
114,85,"f",3571.61660940726,2021,603,0.168831110934965
