"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, COL",2010,"m",0,0.013635,0.013466,0.08,1e+05,1347,98763,7339764,73.4
"LT VR/Census, COL",2010,"m",1,0.000546,0.002179,1.61,98653,215,394100,7241001,73.4
"LT VR/Census, COL",2010,"m",5,0.000254,0.001268,2.5,98438,125,491880,6846901,69.56
"LT VR/Census, COL",2010,"m",10,0.000185,0.000926,2.5,98314,91,491340,6355021,64.64
"LT VR/Census, COL",2010,"m",15,0.001019,0.005083,2.5,98222,499,489864,5863681,59.7
"LT VR/Census, COL",2010,"m",20,0.001521,0.007578,2.5,97723,741,486765,5373817,54.99
"LT VR/Census, COL",2010,"m",25,0.002073,0.010314,2.5,96983,1000,482413,4887052,50.39
"LT VR/Census, COL",2010,"m",30,0.002559,0.012715,2.5,95982,1220,476861,4404639,45.89
"LT VR/Census, COL",2010,"m",35,0.003478,0.017239,2.5,94762,1634,469726,3927778,41.45
"LT VR/Census, COL",2010,"m",40,0.004295,0.021247,2.5,93128,1979,460696,3458051,37.13
"LT VR/Census, COL",2010,"m",45,0.005372,0.026503,2.5,91150,2416,449709,2997356,32.88
"LT VR/Census, COL",2010,"m",50,0.00711,0.034928,2.5,88734,3099,435922,2547646,28.71
"LT VR/Census, COL",2010,"m",55,0.010342,0.050406,2.5,85635,4316,417382,2111725,24.66
"LT VR/Census, COL",2010,"m",60,0.016574,0.079572,2.5,81318,6471,390414,1694342,20.84
"LT VR/Census, COL",2010,"m",65,0.024326,0.114655,2.5,74848,8582,352784,1303928,17.42
"LT VR/Census, COL",2010,"m",70,0.033937,0.156413,2.5,66266,10365,305417,951144,14.35
"LT VR/Census, COL",2010,"m",75,0.052031,0.230211,2.5,55901,12869,247333,645727,11.55
"LT VR/Census, COL",2010,"m",80,0.076526,0.321183,2.5,43032,13821,180607,398394,9.26
"LT VR/Census, COL",2010,"m",85,0.134126,1,NA,29211,29211,217787,217787,7.46
"LT VR/Census, COL",2019,"m",0,0.009605,0.00952,0.07,1e+05,952,99115,7122840,71.23
"LT VR/Census, COL",2019,"m",1,5e-04,0.001998,1.62,99048,198,395722,7023724,70.91
"LT VR/Census, COL",2019,"m",5,0.000196,0.000978,2.5,98850,97,494009,6628003,67.05
"LT VR/Census, COL",2019,"m",10,0.000226,0.001129,2.5,98753,111,493489,6133994,62.11
"LT VR/Census, COL",2019,"m",15,0.001819,0.009056,2.5,98642,893,490976,5640505,57.18
"LT VR/Census, COL",2019,"m",20,0.004179,0.020678,2.5,97749,2021,483690,5149529,52.68
"LT VR/Census, COL",2019,"m",25,0.005135,0.025348,2.5,95727,2427,472571,4665839,48.74
"LT VR/Census, COL",2019,"m",30,0.005055,0.024962,2.5,93301,2329,460682,4193268,44.94
"LT VR/Census, COL",2019,"m",35,0.004761,0.023524,2.5,90972,2140,449509,3732587,41.03
"LT VR/Census, COL",2019,"m",40,0.006298,0.031001,2.5,88832,2754,437275,3283077,36.96
"LT VR/Census, COL",2019,"m",45,0.00669,0.032899,2.5,86078,2832,423310,2845803,33.06
"LT VR/Census, COL",2019,"m",50,0.008233,0.040335,2.5,83246,3358,407836,2422493,29.1
"LT VR/Census, COL",2019,"m",55,0.012302,0.059677,2.5,79888,4767,387523,2014657,25.22
"LT VR/Census, COL",2019,"m",60,0.016714,0.080218,2.5,75121,6026,360539,1627134,21.66
"LT VR/Census, COL",2019,"m",65,0.018872,0.090108,2.5,69095,6226,329909,1266595,18.33
"LT VR/Census, COL",2019,"m",70,0.028894,0.134739,2.5,62869,8471,293167,936686,14.9
"LT VR/Census, COL",2019,"m",75,0.047994,0.214262,2.5,54398,11655,242851,643520,11.83
"LT VR/Census, COL",2019,"m",80,0.061666,0.267144,2.5,42742,11418,185166,400669,9.37
"LT VR/Census, COL",2019,"m",85,0.145354,1,NA,31324,31324,215502,215502,6.88
"LT VR/Census, COL",2021,"m",0,0.010805,0.010698,0.07,1e+05,1070,99009,6588000,65.88
"LT VR/Census, COL",2021,"m",1,0.000511,0.002041,1.62,98930,202,395240,6488991,65.59
"LT VR/Census, COL",2021,"m",5,0.000293,0.001466,2.5,98728,145,493280,6093750,61.72
"LT VR/Census, COL",2021,"m",10,0.000258,0.001291,2.5,98584,127,492600,5600471,56.81
"LT VR/Census, COL",2021,"m",15,0.001638,0.008155,2.5,98456,803,490274,5107871,51.88
"LT VR/Census, COL",2021,"m",20,0.00415,0.020538,2.5,97653,2006,483253,4617597,47.29
"LT VR/Census, COL",2021,"m",25,0.005462,0.02694,2.5,95648,2577,471797,4134344,43.22
"LT VR/Census, COL",2021,"m",30,0.005514,0.027194,2.5,93071,2531,459027,3662547,39.35
"LT VR/Census, COL",2021,"m",35,0.006924,0.03403,2.5,90540,3081,444997,3203520,35.38
"LT VR/Census, COL",2021,"m",40,0.007852,0.038504,2.5,87459,3367,428876,2758523,31.54
"LT VR/Census, COL",2021,"m",45,0.008538,0.041798,2.5,84091,3515,411670,2329647,27.7
"LT VR/Census, COL",2021,"m",50,0.013338,0.06454,2.5,80577,5200,389882,1917977,23.8
"LT VR/Census, COL",2021,"m",55,0.017802,0.085218,2.5,75376,6423,360822,1528095,20.27
"LT VR/Census, COL",2021,"m",60,0.02522,0.118623,2.5,68953,8179,324315,1167273,16.93
"LT VR/Census, COL",2021,"m",65,0.038757,0.176667,2.5,60773,10737,277025,842958,13.87
"LT VR/Census, COL",2021,"m",70,0.051459,0.227966,2.5,50037,11407,221667,565932,11.31
"LT VR/Census, COL",2021,"m",75,0.072032,0.3052,2.5,38630,11790,163676,344265,8.91
"LT VR/Census, COL",2021,"m",80,0.109236,0.429019,2.5,26840,11515,105413,180589,6.73
"LT VR/Census, COL",2021,"m",85,0.203858,1,NA,15325,15325,75176,75176,4.91
"LT VR/Census, COL",2010,"f",0,0.011875,0.011747,0.09,1e+05,1175,98927,7943759,79.44
"LT VR/Census, COL",2010,"f",1,0.000572,0.002284,1.5,98825,226,394738,7844832,79.38
"LT VR/Census, COL",2010,"f",5,0.000212,0.001061,2.5,98600,105,492736,7450094,75.56
"LT VR/Census, COL",2010,"f",10,0.000206,0.001032,2.5,98495,102,492220,6957358,70.64
"LT VR/Census, COL",2010,"f",15,0.000354,0.001768,2.5,98393,174,491531,6465138,65.71
"LT VR/Census, COL",2010,"f",20,0.000443,0.002211,2.5,98219,217,490553,5973607,60.82
"LT VR/Census, COL",2010,"f",25,0.000717,0.003581,2.5,98002,351,489133,5483053,55.95
"LT VR/Census, COL",2010,"f",30,0.000993,0.00495,2.5,97651,483,487047,4993920,51.14
"LT VR/Census, COL",2010,"f",35,0.000832,0.00415,2.5,97168,403,484831,4506873,46.38
"LT VR/Census, COL",2010,"f",40,0.001423,0.007091,2.5,96765,686,482107,4022042,41.57
"LT VR/Census, COL",2010,"f",45,0.002325,0.011556,2.5,96078,1110,477616,3539935,36.84
"LT VR/Census, COL",2010,"f",50,0.003179,0.01577,2.5,94968,1498,471096,3062318,32.25
"LT VR/Census, COL",2010,"f",55,0.006106,0.030073,2.5,93470,2811,460325,2591222,27.72
"LT VR/Census, COL",2010,"f",60,0.00914,0.044678,2.5,90659,4050,443171,2130897,23.5
"LT VR/Census, COL",2010,"f",65,0.016018,0.077004,2.5,86609,6669,416372,1687726,19.49
"LT VR/Census, COL",2010,"f",70,0.024295,0.114519,2.5,79940,9155,376812,1271354,15.9
"LT VR/Census, COL",2010,"f",75,0.042308,0.191305,2.5,70785,13542,320072,894542,12.64
"LT VR/Census, COL",2010,"f",80,0.058358,0.254639,2.5,57244,14576,249777,574470,10.04
"LT VR/Census, COL",2010,"f",85,0.131408,1,NA,42667,42667,324693,324693,7.61
"LT VR/Census, COL",2019,"f",0,0.00735,0.0073,0.07,1e+05,730,99324,7989013,79.89
"LT VR/Census, COL",2019,"f",1,0.000795,0.003175,1.51,99270,315,396295,7889690,79.48
"LT VR/Census, COL",2019,"f",5,0.000272,0.001358,2.5,98955,134,494438,7493394,75.73
"LT VR/Census, COL",2019,"f",10,0.000168,0.000839,2.5,98820,83,493895,6998956,70.82
"LT VR/Census, COL",2019,"f",15,0.000465,0.002324,2.5,98738,229,493114,6505061,65.88
"LT VR/Census, COL",2019,"f",20,0.001107,0.005521,2.5,98508,544,491181,6011947,61.03
"LT VR/Census, COL",2019,"f",25,0.001228,0.006123,2.5,97964,600,488321,5520766,56.35
"LT VR/Census, COL",2019,"f",30,0.001017,0.005074,2.5,97364,494,485587,5032445,51.69
"LT VR/Census, COL",2019,"f",35,0.001118,0.005572,2.5,96870,540,483002,4546858,46.94
"LT VR/Census, COL",2019,"f",40,0.001691,0.00842,2.5,96331,811,479625,4063856,42.19
"LT VR/Census, COL",2019,"f",45,0.003143,0.01559,2.5,95519,1489,473874,3584231,37.52
"LT VR/Census, COL",2019,"f",50,0.003802,0.018832,2.5,94030,1771,465725,3110356,33.08
"LT VR/Census, COL",2019,"f",55,0.005273,0.026021,2.5,92260,2401,455296,2644631,28.67
"LT VR/Census, COL",2019,"f",60,0.008981,0.04392,2.5,89859,3947,439428,2189335,24.36
"LT VR/Census, COL",2019,"f",65,0.014255,0.068822,2.5,85912,5913,414780,1749907,20.37
"LT VR/Census, COL",2019,"f",70,0.018978,0.09059,2.5,80000,7247,381880,1335127,16.69
"LT VR/Census, COL",2019,"f",75,0.035677,0.163775,2.5,72752,11915,333975,953247,13.1
"LT VR/Census, COL",2019,"f",80,0.056122,0.246085,2.5,60837,14971,266759,619272,10.18
"LT VR/Census, COL",2019,"f",85,0.130112,1,NA,45866,45866,352513,352513,7.69
"LT VR/Census, COL",2021,"f",0,0.007953,0.007895,0.08,1e+05,789,99270,7495130,74.95
"LT VR/Census, COL",2021,"f",1,0.000238,0.000951,1.51,99211,94,396607,7395860,74.55
"LT VR/Census, COL",2021,"f",5,0.00034,0.001698,2.5,99116,168,495160,6999253,70.62
"LT VR/Census, COL",2021,"f",10,0.000333,0.001663,2.5,98948,165,494328,6504093,65.73
"LT VR/Census, COL",2021,"f",15,0.000601,0.003002,2.5,98783,297,493175,6009765,60.84
"LT VR/Census, COL",2021,"f",20,0.000675,0.003369,2.5,98487,332,491604,5516590,56.01
"LT VR/Census, COL",2021,"f",25,0.001174,0.005852,2.5,98155,574,489339,5024986,51.19
"LT VR/Census, COL",2021,"f",30,0.001549,0.007715,2.5,97581,753,486020,4535647,46.48
"LT VR/Census, COL",2021,"f",35,0.002078,0.010338,2.5,96828,1001,481636,4049627,41.82
"LT VR/Census, COL",2021,"f",40,0.00239,0.011881,2.5,95827,1139,476287,3567991,37.23
"LT VR/Census, COL",2021,"f",45,0.004578,0.022631,2.5,94688,2143,468084,3091704,32.65
"LT VR/Census, COL",2021,"f",50,0.006633,0.032624,2.5,92545,3019,455178,2623620,28.35
"LT VR/Census, COL",2021,"f",55,0.010441,0.050879,2.5,89526,4555,436243,2168442,24.22
"LT VR/Census, COL",2021,"f",60,0.014108,0.068137,2.5,84971,5790,410381,1732199,20.39
"LT VR/Census, COL",2021,"f",65,0.023658,0.111685,2.5,79181,8843,373799,1321817,16.69
"LT VR/Census, COL",2021,"f",70,0.036582,0.167585,2.5,70338,11788,322221,948018,13.48
"LT VR/Census, COL",2021,"f",75,0.052378,0.231567,2.5,58550,13558,258856,625797,10.69
"LT VR/Census, COL",2021,"f",80,0.078627,0.328551,2.5,44992,14782,188005,366941,8.16
"LT VR/Census, COL",2021,"f",85,0.168831,1,NA,30210,30210,178936,178936,5.92
